CONSECUTIVO,LETRA,CATALOG_KEY,NOMBRE,DIA_CRONICOS,DIA_CAINFANTIL,LSEX,LINF,LSUP,CLAVE_PROGRAMA_SIS,CLAVE_CAPITULO ,CAPITULO ,ES_SUIVE_MORB ,EPI_CLAVE ,EPI_CLAVE_DESC 2024,TIPO_PERSONAL_1VEZ_CE,TIPO_PERSONAL_SUBSEC_CE,VALIDO_SM,VALIDO_SB,VALIDO_PF
17,A,A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
18,A,A038,OTRAS SHIGELOSIS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
19,A,A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,05,SHIGELOSIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
20,A,A040,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
21,A,A041,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
22,A,A042,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
23,A,A043,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
24,A,A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
25,A,A045,ENTERITIS DEBIDA A CAMPYLOBACTER,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
26,A,A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
27,A,A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
28,A,A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
29,A,A049,"INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
30,A,A050,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
31,A,A051,BOTULISMO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
32,A,A052,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
33,A,A053,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
34,A,A054,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
35,A,A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
36,A,A059,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,09,INTOXICACION ALIMENTARIA BACTERIANA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
37,A,A060,DISENTERÍA AMEBIANA AGUDA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,02,AMEBIASIS INTESTINAL,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
38,A,A061,AMEBIASIS INTESTINAL CRÓNICA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,02,AMEBIASIS INTESTINAL,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
39,A,A062,COLITIS AMEBIANA NO DISENTÉRICA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,02,AMEBIASIS INTESTINAL,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
40,A,A063,AMEBOMA INTESTINAL,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,02,AMEBIASIS INTESTINAL,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
41,A,A064,ABSCESO AMEBIANO DEL HÍGADO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,03,ABSCESO HEPATICO AMEBIANO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
42,A,A065,ABSCESO AMEBIANO DEL PULMÓN,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
43,A,A066,ABSCESO AMEBIANO DEL CEREBRO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
44,A,A067,AMEBIASIS CUTÁNEA,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
45,A,A068,INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
46,A,A069,"AMEBIASIS, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,02,AMEBIASIS INTESTINAL,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6,11,21,22",NO,NO,NO
47,A,A070,BALANTIDIASIS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,04,OTRAS INFECCIONES INTESTINALES DEBIDAS A PROTOZOARIOS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
48,A,A071,GIARDIASIS [LAMBLIASIS],NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,04,GIARDIASIS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
49,A,A072,CRIPTOSPORIDIOSIS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,04,OTRAS INFECCIONES INTESTINALES DEBIDAS A PROTOZOARIOS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
50,A,A073,ISOSPORIASIS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
51,A,A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,NO,NO,NO,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
52,A,A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,93,OTRAS INFECCIONES INTESTINALES DEBIDAS A PROTOZOARIOS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
53,A,A080,ENTERITIS DEBIDA A ROTAVIRUS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,137,ENTERITIS DEBIDA A ROTAVIRUS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
54,A,A081,GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
55,A,A082,ENTERITIS DEBIDA A ADENOVIRUS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
56,A,A083,OTRAS ENTERITIS VIRALES,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
57,A,A084,"INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN",NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
58,A,A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6",NO,NO,NO
59,A,A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,11,21,22",NO,NO,NO
60,A,A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,NO,NO,NO,NO,NO,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,08,INFECCIONES INTESTINALES POR OTROS ORGANISMOS Y LAS MAL DEFINIDAS,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29,20,5,6,11,21,22",NO,NO,NO
61,A,A150,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
62,A,A151,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
63,A,A152,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
64,A,A153,"TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
65,A,A154,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
66,A,A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
67,A,A156,"PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
68,A,A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
69,A,A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
70,A,A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
71,A,A160,"TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
72,A,A161,"TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
73,A,A162,"TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
74,A,A163,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
75,A,A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
76,A,A165,"PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
77,A,A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
78,A,A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
79,A,A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",NO,NO,NO,028D,120A,1,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,SI,19,TUBERCULOSIS RESPIRATORIA,"1,2,3,4,9,19,24,29","1,2,3,4,9,19,24,29",NO,NO,NO
