clues,sub_abreviacion,tip_abreviacion,nombre_unidad,en_operacion,id_entidad_federativa,tipo_unidad,institucion
BCIMB001306,99,E,CENTRO DE SALUD CAMALU,1,02,1,IMB
BCIMB001323,99,P,CENTRO REGIONAL DE DESARROLLO INFANTIL Y ESTIMULACION TEMPRANA MOVIL,1,02,1,IMB
BCIMB001352,99,M,HOSPITAL MATERNO INFANTIL DE TIJUANA,1,02,2,IMB
BCIMB001376,99,P,UNIDAD MOVIL 32,1,02,1,IMB
BCIMB001381,99,P,UNIDAD MOVIL 33,1,02,1,IMB
BCIMB001410,99,D,GÓMEZ MORIN,1,02,1,IMB
BCIMB001422,99,M,HOSPITAL GENERAL PLAYAS DE ROSARITO,1,02,2,IMB
BCIMB001434,99,F,EL SAUZAL,1,02,1,IMB
BCIMB001446,99,E,SÁNCHEZ TABOADA REACOMODO,1,02,1,IMB
BCIMB001451,99,G,PORTICOS DEL MAR,1,02,1,IMB
BCIMB001463,99,C,ESTEBAN CANTÚ,1,02,1,IMB
BCIMB001475,99,B,NAYARIT,1,02,1,IMB
BCIMB001480,99,B,LA PROVIDENCIA,1,02,1,IMB
BCIMB001492,99,F,FLORES MAGÓN,1,02,1,IMB
BCIMB001504,99,E,LOS SANTORALES,1,02,1,IMB
BCIMB001516,99,B,EX EJIDO CHAPULTEPEC,1,02,1,IMB
BCIMB001521,99,E,TERRAZAS DEL VALLE,1,02,1,IMB
BCIMB001533,99,P,CARAVANA NO. 26,1,02,1,IMB
BCIMB001550,99,P,CARAVANA NO. 9,1,02,1,IMB
BCIMB001574,UNE09,UNE,UNIDAD DE ESPECIALIDADES MEDICAS DE BC ENSENADA (UNEME - CIRUGÍA AMBULATORIA),1,02,1,IMB
BCIMB001586,99,P,CARAVANA DE LA SALUD NO. 5,1,02,1,IMB
BCIMB001603,99,A,CENTRO DE SALUD EJIDO PÁTZCUARO,1,02,1,IMB
BCIMB001620,99,D,CUMBRES,1,02,1,IMB
BCIMB001632,99,P,CARAVANA DE LA SALUD NO.11,1,02,1,IMB
BCIMB001644,UNE04,UNE,UNEME ENFERMEDADES CRÓNICAS,1,02,1,IMB
BCIMB001656,UNE04,UNE,UNIDAD DE ESPECIALIDADES MEDICAS (SORID) EX EJIDO RUIZ CORTINES,1,02,1,IMB
BCIMB001661,99,E,EX EJIDO RUIZ CORTINES,1,02,1,IMB
BCIMB001673,99,H,CENTRO DE SALUD TECATE,1,02,1,IMB
BCIMB001685,99,P,CARAVANA DE SALUD 31,1,02,1,IMB
BCIMB001690,99,F,CIUDAD COAHUILA KM 57,1,02,1,IMB
BCIMB001702,99,M,HOSPITAL MATERNO INFANTIL,1,02,2,IMB
BCIMB001714,UNE99,UNE,CENTRO REGIONAL DE DESARROLLO INFANTIL Y DE ESTIMULACION TEMPRANA,1,02,1,IMB
BCIMB001726,UNE07,UNE,UNEME DE ONCOLOGÍA,1,02,1,IMB
BCIMB001731,99,S,TIJUANA,1,02,1,IMB
BCIMB001755,99,G,CENTRO DE SALUD URBANO PLAYAS DE ROSARITO,1,02,1,IMB
BCIMB001760,99,D,CENTRO DE SALUD VILLAS DEL PRADO,1,02,1,IMB
BCIMB001772,99,P,UNIDAD MOVIL 9,1,02,1,IMB
BCIMB001784,UNE09,UNE,UNIDAD QUIRURGICA AMBULATORIA DE MEXICALI,1,02,1,IMB
BCIMB001796,99,M,HOSPITAL GENERAL TIJUANA ZONA ESTE,1,02,2,IMB
BCSSA001082,99,ANT,CENTRO ANTIRRÁBICO CALPULLI,1,02,3,SSA
BCSSA001835,99,P,SERVICIO AMIGABLE ITINERANTE EDUSEX,1,02,1,SSA
BCSSA002540,99,OFI,COMISIÓN DE ARBITRAJE MÉDICO DEL ESTADO DE BAJA CALIFORNIA,1,02,3,SSA
BCSSA002555,99,OFI,COMISIÓN DE ARBITRAJE MÉDICO DEL ESTADO DE BAJA CALIFORNIA (DELEGACION ENSENADA),1,02,3,SSA
BCSSA017475,EST01,OFI,OFICINA CENTRAL,1,02,3,SSA
BCSSA017504,JUR01,OFI,JURISDICCIÓN SANITARIA DE ENSENADA,1,02,3,SSA
BCSSA017550,99,ANT,CENTRO ANTIRRÁBICO,1,02,3,SSA
BCSSA017643,UNE03,UNE,CAPASITS,1,02,1,SSA
BCSSA017672,UNE03,UNE,CAPASITS,1,02,1,SSA
BCSSA017701,99,LAB,LABORATORIO ESTATAL DE SALUD PÚBLICA,1,02,3,SSA
BCSSA017742,UNE03,UNE,CAPASITS FLORIDO MORITA,1,02,1,SSA
BCSSA018063,JUR01,OFI,JURISDICCIÓN SANITARIA DE MEXICALI,1,02,3,SSA
BCSSA018075,JUR01,OFI,JURISDICCIÓN SANITARIA DE TIJUANA,1,02,3,SSA
BCSSA018104,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SANTORALES,1,02,1,SSA
BCSSA018116,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ORIZABA,1,02,1,SSA
BCSSA018121,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES GONZÁLEZ ORTEGA,1,02,1,SSA
BCSSA018133,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CIPRÉS,1,02,1,SSA
BCSSA018162,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES LOMAS VERDES,1,02,1,SSA
BCSSA018174,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES DURANGO LA MESA,1,02,1,SSA
BCSSA018191,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VALLE VERDE,1,02,1,SSA
BCSSA018215,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES ROSARITO CHULA VISTA,1,02,1,SSA
BCSSA018220,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES SAUZAL,1,02,1,SSA
BCSSA018232,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES MANEADERO,1,02,1,SSA
BCSSA018244,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES CHAPULTEPEC,1,02,1,SSA
BCSSA018261,UNE15,UNE,CENTRO COMUNITARIO DE SALUD MENTAL Y ADICCIONES VICENTE GUERRERO,1,02,1,SSA
BCSSA018290,99,OFI,DIRECCIÓN DE PROTECCIÓN CONTRA RIESGOS SANITARIOS,1,02,3,SSA
BCSSA018302,JUR01,OFI,JURISDICCIÓN SANITARIA DE VICENTE GUERRERO,1,02,3,SSA
